month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2025-04-01,A DIVISION,6,2,2582,3176,0.812972292
2025-04-01,A DIVISION,7,1,12886,14150,0.910671378
2025-04-01,A DIVISION,7,2,2931,3248,0.902401478
2025-04-01,A DIVISION,S 42nd,1,11526,11526,1
2025-04-01,A DIVISION,S 42nd,2,2728,2728,1
2025-04-01,B DIVISION,A,1,7095,8250,0.86
2025-04-01,B DIVISION,A,2,1857,2244,0.827540107
2025-04-01,B DIVISION,B,1,3719,4796,0.775437865
2025-04-01,B DIVISION,C,1,3693,4884,0.756142506
2025-04-01,B DIVISION,C,2,816,1248,0.653846154
2025-04-01,B DIVISION,D,1,5390,6512,0.827702703
2025-04-01,B DIVISION,D,2,1242,1728,0.71875
2025-04-01,B DIVISION,E,1,6522,8625,0.756173913
2025-04-01,B DIVISION,E,2,1455,1680,0.866071429
2025-04-01,B DIVISION,F,1,6098,8360,0.729425837
2025-04-01,B DIVISION,F,2,1337,1672,0.799641148
2025-04-01,B DIVISION,G,1,5336,6843,0.779774953
2025-04-01,B DIVISION,G,2,2124,2356,0.901528014
2025-04-01,B DIVISION,JZ,1,6197,6540,0.947553517
2025-04-01,B DIVISION,JZ,2,1693,1860,0.910215054
2025-04-01,B DIVISION,L,1,10514,12012,0.875291375
2025-04-01,B DIVISION,L,2,2811,3084,0.911478599
2025-04-01,B DIVISION,M,1,5358,6424,0.834059776
2025-04-01,B DIVISION,M,2,1975,2014,0.980635551
2025-04-01,B DIVISION,N,1,8081,10099,0.800178235
2025-04-01,B DIVISION,N,2,1287,1728,0.744791667
2025-04-01,B DIVISION,Q,1,5697,6901,0.825532532
2025-04-01,B DIVISION,Q,2,2444,2580,0.947286822
2025-04-01,B DIVISION,R,1,5386,6579,0.818665451
2025-04-01,B DIVISION,R,2,1558,1728,0.90162037
2025-04-01,B DIVISION,S Fkln,1,5218,5232,0.997324159
2025-04-01,B DIVISION,S Fkln,2,1904,1904,1
2025-04-01,B DIVISION,S Rock,1,3800,3828,0.992685475
2025-04-01,B DIVISION,S Rock,2,1388,1392,0.997126437
2025-05-01,A DIVISION,1,1,7723,9714,0.795038089
2025-05-01,A DIVISION,1,2,3314,3636,0.911441144
2025-05-01,A DIVISION,2,1,5164,7091,0.728247074
2025-05-01,A DIVISION,2,2,1835,2592,0.707947531
2025-05-01,A DIVISION,3,1,5254,5970,0.880067002
2025-05-01,A DIVISION,3,2,1653,2071,0.798165138
2025-05-01,A DIVISION,4,1,6554,7772,0.843283582
2025-05-01,A DIVISION,4,2,2092,2670,0.783520599
2025-05-01,A DIVISION,5,1,5482,6722,0.815531092
2025-05-01,A DIVISION,5,2,2188,2355,0.929087049
2025-05-01,A DIVISION,6,1,10088,11702,0.862074859
2025-05-01,A DIVISION,6,2,2854,3160,0.903164557
2025-05-01,A DIVISION,7,1,12600,13482,0.934579439
2025-05-01,A DIVISION,7,2,3424,3920,0.873469388
2025-05-01,A DIVISION,S 42nd,1,10989,11018,0.997367943
2025-05-01,A DIVISION,S 42nd,2,3480,3482,0.999425617
2025-05-01,B DIVISION,A,1,6671,7937,0.840493889
2025-05-01,B DIVISION,A,2,2292,2805,0.817112299
2025-05-01,B DIVISION,B,1,3380,4392,0.769581056
2025-05-01,B DIVISION,C,1,3852,4662,0.826254826
2025-05-01,B DIVISION,C,2,1123,1560,0.719871795
2025-05-01,B DIVISION,D,1,5057,6253,0.808731809
2025-05-01,B DIVISION,D,2,1714,2160,0.793518519
2025-05-01,B DIVISION,E,1,6655,8232,0.808430515
2025-05-01,B DIVISION,E,2,1713,2100,0.815714286
2025-05-01,B DIVISION,F,1,5969,7980,0.747994987
2025-05-01,B DIVISION,F,2,1416,2090,0.677511962
2025-05-01,B DIVISION,G,1,5455,6578,0.829279416
2025-05-01,B DIVISION,G,2,3282,3540,0.927118644
2025-05-01,B DIVISION,JZ,1,5720,6237,0.917107584
2025-05-01,B DIVISION,JZ,2,2065,2260,0.913716814
2025-05-01,B DIVISION,L,1,10306,11616,0.887224518
2025-05-01,B DIVISION,L,2,4523,4720,0.958262712
2025-05-01,B DIVISION,M,1,5145,6132,0.839041096
2025-05-01,B DIVISION,M,2,2423,2510,0.965338645
2025-05-01,B DIVISION,N,1,8073,10059,0.802564867
2025-05-01,B DIVISION,N,2,2635,3248,0.811268473
2025-05-01,B DIVISION,Q,1,5522,6695,0.824794623
2025-05-01,B DIVISION,Q,2,1921,2610,0.736015326
2025-05-01,B DIVISION,R,1,5244,6355,0.825177026
2025-05-01,B DIVISION,R,2,1873,2160,0.86712963
2025-05-01,B DIVISION,S Fkln,1,4972,4998,0.994797919
2025-05-01,B DIVISION,S Fkln,2,2380,2380,1
2025-05-01,B DIVISION,S Rock,1,3404,3572,0.952967525
2025-05-01,B DIVISION,S Rock,2,1233,1322,0.932677761
2025-06-01,A DIVISION,1,1,8475,9886,0.857272911
2025-06-01,A DIVISION,1,2,2722,3052,0.891874181
2025-06-01,A DIVISION,2,1,5311,6887,0.771163061
2025-06-01,A DIVISION,2,2,1849,2546,0.726237235
2025-06-01,A DIVISION,3,1,5118,6070,0.843163097
2025-06-01,A DIVISION,3,2,1452,1846,0.786565547
2025-06-01,A DIVISION,4,1,6606,7771,0.850083644
2025-06-01,A DIVISION,4,2,1708,2388,0.715242881
2025-06-01,A DIVISION,5,1,5412,6591,0.821119709
2025-06-01,A DIVISION,5,2,1410,1653,0.852994555
2025-06-01,A DIVISION,6,1,10227,11700,0.874102564
2025-06-01,A DIVISION,6,2,2376,2756,0.862119013
2025-06-01,A DIVISION,7,1,11514,13458,0.855550602
2025-06-01,A DIVISION,7,2,3181,3310,0.96102719
2025-06-01,A DIVISION,S 42nd,1,10996,11088,0.991702742
2025-06-01,A DIVISION,S 42nd,2,3314,3314,1
2025-06-01,B DIVISION,A,1,6110,8029,0.760991406
2025-06-01,B DIVISION,A,2,1976,2519,0.784438269
2025-06-01,B DIVISION,B,1,3345,4610,0.725596529
2025-06-01,B DIVISION,C,1,3593,4662,0.770699271
2025-06-01,B DIVISION,C,2,1204,1398,0.861230329
2025-06-01,B DIVISION,D,1,4748,6216,0.763835264
2025-06-01,B DIVISION,D,2,1452,1944,0.74691358
2025-06-01,B DIVISION,E,1,6233,8296,0.75132594
2025-06-01,B DIVISION,E,2,1934,2174,0.889604416
2025-06-01,B DIVISION,F,1,5997,8117,0.738819761
2025-06-01,B DIVISION,F,2,1394,1874,0.743863394
2025-06-01,B DIVISION,G,1,5164,6319,0.817217914
2025-06-01,B DIVISION,G,2,2008,2312,0.868512111
2025-06-01,B DIVISION,JZ,1,5519,6239,0.884596891
2025-06-01,B DIVISION,JZ,2,1944,2096,0.927480916
2025-06-01,B DIVISION,L,1,10225,11818,0.865205619
2025-06-01,B DIVISION,L,2,4103,4320,0.949768519
2025-06-01,B DIVISION,M,1,4927,6132,0.803489889
2025-06-01,B DIVISION,M,2,2196,2244,0.978609626
2025-06-01,B DIVISION,N,1,7603,9905,0.767592125
2025-06-01,B DIVISION,N,2,1354,1943,0.696860525
2025-06-01,B DIVISION,Q,1,5313,6615,0.803174603
2025-06-01,B DIVISION,Q,2,1842,2278,0.808604039
2025-06-01,B DIVISION,R,1,5210,6346,0.8209896
2025-06-01,B DIVISION,R,2,1795,1942,0.92430484
2025-06-01,B DIVISION,S Fkln,1,4953,4998,0.990996399
2025-06-01,B DIVISION,S Fkln,2,2122,2142,0.990662932
2025-06-01,B DIVISION,S Rock,1,3122,3528,0.884920635
