index,lines,time,stop1,stop2,stop 1 count,stop 2 count
"('H04', 'H12')",A,210.0,Broad Channel,Beach 90 St,1,1
"('H04', 'H12')",S,210.0,Broad Channel,Beach 90 St,1,1
"('H12', 'H13')",A,90.0,Beach 90 St,Beach 98 St,1,1
"('H12', 'H13')",S,90.0,Beach 90 St,Beach 98 St,1,1
"('H13', 'H14')",A,120.0,Beach 98 St,Beach 105 St,1,1
"('H13', 'H14')",S,120.0,Beach 98 St,Beach 105 St,1,1
"('H14', 'H15')",A,120.0,Beach 105 St,Rockaway Park-Beach 116 St,1,1
"('H14', 'H15')",S,120.0,Beach 105 St,Rockaway Park-Beach 116 St,1,1
"('J12', 'J14')",Z,180.0,121 St,104 St,1,1
"('J12', 'J14')",J,180.0,121 St,104 St,1,1
"('J14', 'J15')",Z,90.0,104 St,Woodhaven Blvd,1,2
"('J14', 'J15')",J,90.0,104 St,Woodhaven Blvd,1,2
"('J15', 'J17')",Z,180.0,Woodhaven Blvd,75 St-Elderts Ln,2,1
"('J15', 'J17')",J,180.0,Woodhaven Blvd,75 St-Elderts Ln,2,1
"('J17', 'J20')",Z,150.0,75 St-Elderts Ln,Crescent St,1,1
"('J17', 'J20')",J,150.0,75 St-Elderts Ln,Crescent St,1,1
"('G16', 'G18')",M,90.0,Northern Blvd,46 St,1,1
"('G16', 'G18')",R,90.0,Northern Blvd,46 St,1,1
"('J20', 'J21')",Z,115.71428571428571,Crescent St,Norwood Av,1,1
"('J20', 'J21')",J,115.71428571428571,Crescent St,Norwood Av,1,1
"('J23', 'J24')",Z,85.60975609756098,Van Siclen Av,Alabama Av,1,1
"('J23', 'J24')",J,85.60975609756098,Van Siclen Av,Alabama Av,1,1
"('J24', 'J27')",Z,112.82608695652173,Alabama Av,Broadway Junction,1,2
"('J24', 'J27')",J,112.82608695652173,Alabama Av,Broadway Junction,1,2
"('J27', 'J28')",Z,85.71428571428571,Broadway Junction,Chauncey St,2,1
"('J27', 'J28')",J,85.71428571428571,Broadway Junction,Chauncey St,2,1
"('J28', 'J30')",Z,150.0,Chauncey St,Gates Av,1,1
"('J28', 'J30')",J,150.0,Chauncey St,Gates Av,1,1
"('J30', 'M11')",Z,180.0,Gates Av,Myrtle Av,1,1
"('J30', 'M11')",J,180.0,Gates Av,Myrtle Av,1,1
"('M11', 'M12')",M,67.8,Myrtle Av,Flushing Av,2,1
"('M11', 'M12')",J,67.8,Myrtle Av,Flushing Av,2,1
"('M21', 'M22')",Z,97.17391304347827,Chambers St,Fulton St,3,3
"('M21', 'M22')",J,97.17391304347827,Chambers St,Fulton St,3,3
"('M12', 'M13')",M,90.0,Flushing Av,Lorimer St,1,1
"('M12', 'M13')",J,90.0,Flushing Av,Lorimer St,1,1
"('M13', 'M14')",M,90.0,Lorimer St,Hewes St,1,1
"('M13', 'M14')",J,90.0,Lorimer St,Hewes St,1,1
"('M14', 'M16')",M,60.0,Hewes St,Marcy Av,1,2
"('M14', 'M16')",J,60.0,Hewes St,Marcy Av,1,2
"('M20', 'M21')",Z,120.0,Canal St,Chambers St,5,3
"('M20', 'M21')",J,120.0,Canal St,Chambers St,5,3
"('J21', 'J23')",Z,150.0,Norwood Av,Van Siclen Av,1,1
"('J21', 'J23')",J,150.0,Norwood Av,Van Siclen Av,1,1
"('D39', 'D40')",B,137.04545454545453,Sheepshead Bay,Brighton Beach,1,1
"('D39', 'D40')",Q,137.04545454545453,Sheepshead Bay,Brighton Beach,1,1
"('G15', 'G16')",M,97.82608695652173,65 St,Northern Blvd,1,1
"('G15', 'G16')",R,97.82608695652173,65 St,Northern Blvd,1,1
"('G14', 'G15')",M,90.0,Jackson Hts-Roosevelt Av,65 St,2,1
"('G14', 'G15')",R,90.0,Jackson Hts-Roosevelt Av,65 St,2,1
"('F05', 'F06')",E,120.0,Briarwood,Kew Gardens-Union Tpke,1,1
"('F05', 'F06')",F,120.0,Briarwood,Kew Gardens-Union Tpke,1,1
"('F06', 'F07')",E,120.0,Kew Gardens-Union Tpke,75 Av,2,1
"('F06', 'F07')",F,120.0,Kew Gardens-Union Tpke,75 Av,2,1
"('F06', 'G08')",E,166.36363636363637,Kew Gardens-Union Tpke,Forest Hills-71 Av,2,2
"('F06', 'G08')",F,166.36363636363637,Kew Gardens-Union Tpke,Forest Hills-71 Av,2,2
"('F07', 'G08')",E,120.0,75 Av,Forest Hills-71 Av,1,2
"('F07', 'G08')",F,120.0,75 Av,Forest Hills-71 Av,1,2
"('F09', 'F11')",M,180.0,Court Sq-23 St,Lexington Av/53 St,2,1
"('F09', 'F11')",E,180.0,Court Sq-23 St,Lexington Av/53 St,2,1
"('F09', 'G21')",M,101.05263157894737,Court Sq-23 St,Queens Plaza,2,3
"('F09', 'G21')",E,101.05263157894737,Court Sq-23 St,Queens Plaza,2,3
"('F11', 'F12')",M,90.0,Lexington Av/53 St,5 Av/53 St,1,1
"('F11', 'F12')",E,90.0,Lexington Av/53 St,5 Av/53 St,1,1
"('F20', 'F21')",F,120.0,Bergen St,Carroll St,2,1
"('F20', 'F21')",G,120.0,Bergen St,Carroll St,2,1
"('F21', 'F22')",F,130.95652173913044,Carroll St,Smith-9 Sts,1,1
