Month,Division,Line,Day Type,Number Late,Scheduled Trips,Percent Late
2025-05-01,Subdivision A,6,1,350,11702,0.029909417
2025-05-01,Subdivision A,7,1,502,13482,0.037234832
2025-05-01,Subdivision A,7,2,218,3920,0.055612245
2025-05-01,Subdivision B,A,1,238,7937,0.029986141
2025-05-01,Subdivision B,A,2,86,2805,0.030659537
2025-05-01,Subdivision B,B,1,240,4392,0.054644809
2025-05-01,Subdivision B,C,2,97,1560,0.062179487
2025-05-01,Subdivision B,C,1,234,4662,0.05019305
2025-05-01,Subdivision B,D,1,293,6253,0.046857508
2025-05-01,Subdivision B,D,2,109,2160,0.050462963
2025-05-01,Subdivision B,E,1,263,8232,0.031948494
2025-05-01,Subdivision B,E,2,62,2100,0.02952381
2025-05-01,Subdivision B,F,1,298,7980,0.037343358
2025-05-01,Subdivision B,F,2,142,2090,0.067942584
2025-05-01,Subdivision B,G,1,536,6578,0.081483734
2025-05-01,Subdivision B,G,2,112,3540,0.031638418
2025-05-01,Subdivision B,JZ,1,0,6237,0
2025-05-01,Subdivision B,JZ,2,0,2260,0
2025-05-01,Subdivision B,L,1,554,11616,0.047692837
2025-05-01,Subdivision B,L,2,61,4720,0.012923729
2025-05-01,Subdivision B,M,2,9,2510,0.003585657
2025-05-01,Subdivision B,M,1,216,6132,0.035225049
2025-05-01,Subdivision B,NW,1,0,10059,0
2025-05-01,Subdivision B,NW,2,0,3248,0
2025-05-01,Subdivision B,Q,2,259,2610,0.099233716
2025-05-01,Subdivision B,Q,1,526,6695,0.078566094
2025-05-01,Subdivision B,R,1,330,6355,0.051927616
2025-05-01,Subdivision B,R,2,91,2160,0.04212963
2025-05-01,Subdivision B,S 42nd,1,0,11018,0
2025-05-01,Subdivision B,S 42nd,2,0,3482,0
2025-05-01,Subdivision B,S Fkln,1,0,4998,0
2025-05-01,Subdivision B,S Fkln,2,0,2380,0
2025-05-01,Subdivision B,S Rock,2,0,1322,0
2025-05-01,Subdivision B,S Rock,1,0,3572,0
2025-05-01,Subdivision B,SI,2,0,944,0
2025-05-01,Subdivision B,SI,1,0,3570,0
2025-06-01,Subdivision A,1,1,399,9886,0.040360105
2025-06-01,Subdivision A,1,2,78,3052,0.025557012
2025-06-01,Subdivision A,2,1,295,6887,0.042834326
2025-06-01,Subdivision A,2,2,148,2546,0.058130401
2025-06-01,Subdivision A,3,1,190,6070,0.031301483
2025-06-01,Subdivision A,3,2,105,1846,0.05687974
2025-06-01,Subdivision A,4,1,216,7771,0.02779565
2025-06-01,Subdivision A,4,2,164,2388,0.068676717
2025-06-01,Subdivision A,5,1,198,6591,0.030040965
2025-06-01,Subdivision A,5,2,66,1653,0.039927405
2025-06-01,Subdivision A,6,1,320,11700,0.027350427
2025-06-01,Subdivision A,6,2,162,2756,0.058780842
2025-06-01,Subdivision A,7,1,591,13458,0.0439144
2025-06-01,Subdivision A,7,2,119,3310,0.035951662
2025-06-01,Subdivision B,A,1,268,8029,0.033379001
2025-06-01,Subdivision B,A,2,97,2519,0.038507344
2025-06-01,Subdivision B,B,1,260,4610,0.056399132
2025-06-01,Subdivision B,C,1,219,4662,0.046975547
2025-06-01,Subdivision B,C,2,78,1398,0.055793991
2025-06-01,Subdivision B,D,1,240,6216,0.038610039
2025-06-01,Subdivision B,D,2,132,1944,0.067901235
2025-06-01,Subdivision B,E,1,343,8296,0.041345227
2025-06-01,Subdivision B,E,2,34,2174,0.015639374
2025-06-01,Subdivision B,F,1,312,8117,0.038437846
2025-06-01,Subdivision B,F,2,70,1874,0.037353255
2025-06-01,Subdivision B,G,1,446,6319,0.070580788
2025-06-01,Subdivision B,G,2,147,2312,0.063581315
2025-06-01,Subdivision B,JZ,1,0,6239,0
2025-06-01,Subdivision B,JZ,2,0,2096,0
2025-06-01,Subdivision B,L,1,459,11818,0.038839059
